CropType,LoanName,Location,LandType,LandSize,Income
Silk,NABARD Loan,Kolar,Dryland,2.04,69382
Pulses,Organic Farming Loan,Bidar,Rainfed,3.65,22532
Pulses,Organic Farming Loan,Gadag,Dryland,1.32,22448
Mango,Organic Farming Loan,Chikkaballapur,Dryland,3.05,48700
Mango,Horticulture Loan,Chikkaballapur,Black cotton soil land,3.1,40598
Sugarcane,Farm Mechanization Loan,Belagavi,Black cotton soil land,5.79,46626
Cotton,Kisan Credit Card,Gadag,Dryland,4.5,44552
Coffee,Plantation Development Loan,Kodagu,Wetland,0.52,88456
Millets,PM Kisan Loan,Ballari,Rainfed,2.9,15783
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,2.45,81439
Organic Vegetables,Organic Farming Loan,Tumakuru,Dryland,1.55,40210
Beekeeping,Agri Clinic Loan,Shivamogga,Forest edge,0.85,58414
Wheat,PM Kisan Loan,Vijayapura,Dryland,2.92,31654
Banana,Irrigation Loan,Mandya,Wetland,2.28,47570
Groundnut,Crop Loan,Chikkaballapur,Dryland,2.35,32685
Rice,Crop Loan,Shivamogga,Wetland,2.41,32137
Coconut,Agri Infrastructure Loan,Udupi,Irrigated,1.11,44041
Mango,Horticulture Loan,Kolar,Dryland,3.8,37837
Wheat,PM Kisan Loan,Kalaburagi,Dryland,2.16,30491
Banana,Irrigation Loan,Hassan,Irrigated,2.71,42785
Beekeeping,Agri Clinic Loan,Kodagu,Forest edge,1.71,64369
Floriculture,NABARD Loan,Tumakuru,Irrigated,1.06,74724
Cotton,Pest Management Loan,Gadag,Dryland,3.73,39745
Tea,Plantation Development Loan,Chikkamagaluru,Hill slope,1.68,91985
Groundnut,Crop Loan,Tumakuru,Black cotton soil land,4.4,25653
Beekeeping,Agri Clinic Loan,Shivamogga,Dryland,1.85,51115
Tea,Plantation Development Loan,Chikkamagaluru,Hill slope,2.18,93583
Beekeeping,Agri Clinic Loan,Shivamogga,Dryland,1.83,65004
Floriculture,NABARD Loan,Bengaluru Urban,Polyhouse,1.68,64395
Floriculture,NABARD Loan,Bengaluru Urban,Polyhouse,1.91,79520
Coconut,Agri Infrastructure Loan,Dakshina Kannada,Coastal loamy,2.23,42866
Beekeeping,Agri Clinic Loan,Chamarajanagar,Dryland,1.4,50681
Rice,Kisan Credit Card,Shivamogga,Irrigated,2.92,39749
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,2.44,89969
Coffee,Horticulture Loan,Kodagu,Black cotton soil land,1.1,87517
Millets,Soil Health Card Loan,Tumakuru,Rainfed,5.28,16534
Wheat,Crop Loan,Vijayapura,Irrigated,4.92,30899
Fish Farming,Fisheries Loan,Udupi,Wetland,1.29,61693
Organic Vegetables,Horticulture Loan,Mysuru,Irrigated,2.97,47547
Wheat,Crop Loan,Kalaburagi,Dryland,2.16,34007
Sugarcane,Farm Mechanization Loan,Mandya,Irrigated,4.51,47210
Coffee,Plantation Development Loan,Hassan,Wetland,0.96,71585
Cotton,Pest Management Loan,Ballari,Dryland,2.4,42713
Coconut,Agri Infrastructure Loan,Tumakuru,Coastal loamy,2.25,51125
Mango,Horticulture Loan,Chikkaballapur,Dryland,1.6,47727
Groundnut,Crop Loan,Bengaluru Rural,Black cotton soil land,4.4,26299
Organic Vegetables,Organic Farming Loan,Dharwad,Irrigated,1.48,39111
Beekeeping,Agri Clinic Loan,Kodagu,Dryland,0.77,69464
Wheat,PM Kisan Loan,Kalaburagi,Irrigated,3.42,28073
Fish Farming,Fisheries Loan,Udupi,Wetland,1.09,65098
Pulses,Organic Farming Loan,Dharwad,Rainfed,2.39,22038
Fish Farming,Fisheries Loan,Uttara Kannada,Wetland,2.02,92876
Floriculture,Floriculture Loan,Doddaballapura,Polyhouse,1.31,71367
Tea,NABARD Refinance Scheme,Chikkamagaluru,Hill slope,2.18,81620
Rice,Kisan Credit Card,Mandya,Irrigated,1.76,37280
Groundnut,Organic Farming Loan,Chikkaballapur,Black cotton soil land,2.07,21402
Banana,Irrigation Loan,Mysuru,Wetland,2.28,43690
Silk,Agricultural Term Loan,Chikkaballapur,Irrigated,2.0,72301
Tea,NABARD Refinance Scheme,Chikkamagaluru,Hill slope,1.48,95816
Cotton,Kisan Credit Card,Haveri,Black cotton soil land,3.27,30380
Floriculture,Floriculture Loan,Tumakuru,Irrigated,1.86,56738
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,1.19,82240
Wheat,Crop Loan,Vijayapura,Dryland,4.96,34110
Sugarcane,Agricultural Term Loan,Mandya,Black cotton soil land,2.37,54958
Wheat,Crop Loan,Bagalkot,Dryland,4.22,28757
Coconut,Plantation Loan,Tumakuru,Irrigated,1.88,47376
Banana,Horticulture Loan,Hassan,Wetland,1.6,47248
Wheat,Crop Loan,Kalaburagi,Dryland,2.2,34967
Coconut,Plantation Loan,Dakshina Kannada,Coastal loamy,1.42,52020
Pulses,NABARD Loan,Gadag,Rainfed,2.12,20277
Tea,Plantation Development Loan,Chikkamagaluru,Hill slope,1.37,89946
Rice,Irrigation Loan,Mysuru,Wetland,3.42,39563
Coffee,Plantation Development Loan,Chikkamagaluru,Wetland,0.98,62691
Rice,Kisan Credit Card,Mysuru,Wetland,1.12,36755
Millets,PM Kisan Loan,Tumakuru,Dryland,2.48,19383
Millets,PM Kisan Loan,Tumakuru,Rainfed,4.72,17720
Organic Vegetables,Organic Farming Loan,Mysuru,Dryland,1.26,36430
Rice,Irrigation Loan,Shivamogga,Irrigated,1.74,34744
Pulses,PM Kisan Loan,Dharwad,Rainfed,1.88,21589
Coconut,Plantation Loan,Udupi,Coastal loamy,1.82,58595
Millets,Soil Health Card Loan,Chitradurga,Rainfed,2.59,17526
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,1.18,81664
Coffee,NABARD Loan,Kodagu,Black cotton soil land,1.46,82303
Coffee,NABARD Loan,Hassan,Wetland,1.56,67106
Organic Vegetables,Horticulture Loan,Dharwad,Dryland,1.36,39313
Banana,Irrigation Loan,Mysuru,Wetland,2.71,42686
Maize,Crop Loan,Chikkaballapur,Rainfed,4.64,34998
Maize,Farm Mechanization Loan,Gadag,Dryland,4.67,25333
Groundnut,Organic Farming Loan,Bengaluru Rural,Black cotton soil land,3.45,24243
Silk,Agricultural Term Loan,Chikkaballapur,Irrigated,1.11,58354
Wheat,PM Kisan Loan,Bagalkot,Irrigated,2.35,25191
Groundnut,Crop Loan,Tumakuru,Dryland,3.23,30730
Floriculture,Floriculture Loan,Tumakuru,Polyhouse,1.87,73627
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,1.24,70810
Mango,Organic Farming Loan,Chikkaballapur,Black cotton soil land,1.54,40606
Coconut,Agri Infrastructure Loan,Tumakuru,Coastal loamy,1.28,46765
Sugarcane,Agricultural Term Loan,Mandya,Black cotton soil land,2.02,56495
Pulses,Organic Farming Loan,Bidar,Dryland,1.1,18804
Floriculture,NABARD Loan,Tumakuru,Polyhouse,1.58,64914
Floriculture,Floriculture Loan,Tumakuru,Polyhouse,1.96,52793
Millets,PM Kisan Loan,Tumakuru,Rainfed,4.51,21591
Groundnut,Crop Loan,Tumakuru,Dryland,4.22,24839
Pulses,PM Kisan Loan,Raichur,Rainfed,3.82,19233
Wheat,PM Kisan Loan,Vijayapura,Irrigated,1.91,34425
Floriculture,NABARD Loan,Doddaballapura,Polyhouse,1.63,73692
Groundnut,Crop Loan,Chikkaballapur,Black cotton soil land,4.61,34796
Wheat,Crop Loan,Vijayapura,Irrigated,2.44,33612
Organic Vegetables,Horticulture Loan,Dharwad,Irrigated,1.21,45230
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,1.6,65902
Rice,Kisan Credit Card,Raichur,Irrigated,2.21,32397
Beekeeping,Agri Clinic Loan,Shivamogga,Forest edge,2.0,66070
Beekeeping,Agri Clinic Loan,Chamarajanagar,Forest edge,1.99,50256
Beekeeping,Agri Clinic Loan,Kodagu,Dryland,1.97,62872
Groundnut,Crop Loan,Tumakuru,Black cotton soil land,3.55,20224
Maize,Farm Mechanization Loan,Davanagere,Dryland,4.82,32646
Pulses,Organic Farming Loan,Bidar,Rainfed,1.3,24297
Pulses,Organic Farming Loan,Bidar,Dryland,2.21,21352
Cotton,Crop Loan,Gadag,Black cotton soil land,4.02,31793
Millets,Organic Farming Loan,Tumakuru,Rainfed,5.87,20265
Tea,Plantation Development Loan,Chikkamagaluru,Hill slope,2.41,74726
Pulses,Organic Farming Loan,Gadag,Rainfed,3.33,18275
Banana,Irrigation Loan,Hassan,Irrigated,1.75,42591
Coconut,Plantation Loan,Tumakuru,Irrigated,1.34,44708
Maize,Crop Loan,Gadag,Rainfed,4.47,30799
Maize,Crop Loan,Gadag,Dryland,4.18,26303
Rice,Crop Loan,Shivamogga,Wetland,1.7,39662
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,1.93,76139
Sugarcane,Irrigation Loan,Bagalkot,Black cotton soil land,3.64,48137
Fish Farming,NABARD Infrastructure Loan,Udupi,Wetland,2.28,89420
Pulses,Organic Farming Loan,Bidar,Dryland,1.65,18605
Organic Vegetables,Horticulture Loan,Dharwad,Dryland,1.04,47896
Cotton,Kisan Credit Card,Gadag,Black cotton soil land,4.49,44929
Fish Farming,NABARD Infrastructure Loan,Uttara Kannada,Wetland,0.93,62490
Coconut,Agri Infrastructure Loan,Udupi,Coastal loamy,1.94,49671
Cotton,Kisan Credit Card,Dharwad,Black cotton soil land,4.68,40670
Mango,Horticulture Loan,Kolar,Dryland,2.36,44462
Sugarcane,Farm Mechanization Loan,Bagalkot,Black cotton soil land,5.29,58383
Organic Vegetables,Horticulture Loan,Mysuru,Irrigated,2.79,38351
Organic Vegetables,Horticulture Loan,Dharwad,Dryland,1.62,41639
Groundnut,Organic Farming Loan,Chikkaballapur,Dryland,4.91,25909
Silk,NABARD Loan,Chikkaballapur,Dryland,1.21,70492
Mango,Horticulture Loan,Ramanagara,Black cotton soil land,2.75,52941
Rice,Kisan Credit Card,Raichur,Wetland,3.18,37236
Silk,Agricultural Term Loan,Ramanagara,Irrigated,1.17,61542
Coconut,Plantation Loan,Dakshina Kannada,Coastal loamy,3.57,42155
Wheat,PM Kisan Loan,Vijayapura,Dryland,4.1,26082
Pulses,NABARD Loan,Bidar,Dryland,1.33,24088
Sugarcane,Agricultural Term Loan,Belagavi,Irrigated,3.75,59935
Groundnut,Crop Loan,Chikkaballapur,Dryland,4.33,31861
Rice,Crop Loan,Shivamogga,Wetland,2.62,31360
Silk,NABARD Loan,Ramanagara,Dryland,1.68,72421
Maize,Crop Loan,Chikkaballapur,Rainfed,2.92,32672
Groundnut,Organic Farming Loan,Tumakuru,Dryland,4.91,28961
Sugarcane,Farm Mechanization Loan,Mandya,Black cotton soil land,2.03,54463
Beekeeping,Apiculture Loan,Chamarajanagar,Forest edge,0.96,61672
Floriculture,NABARD Loan,Bengaluru Urban,Polyhouse,0.82,57580
Sugarcane,Farm Mechanization Loan,Bagalkot,Irrigated,4.05,48758
Rice,Irrigation Loan,Raichur,Wetland,1.7,35922
Pulses,PM Kisan Loan,Gadag,Rainfed,2.96,21048
Beekeeping,Apiculture Loan,Kodagu,Dryland,1.15,67841
Coffee,NABARD Loan,Hassan,Wetland,0.51,76175
Millets,Organic Farming Loan,Chitradurga,Dryland,2.91,17395
Pulses,Organic Farming Loan,Raichur,Dryland,2.42,23007
Organic Vegetables,Horticulture Loan,Tumakuru,Irrigated,1.06,36393
Mango,Horticulture Loan,Kolar,Black cotton soil land,1.91,54530
Sugarcane,Agricultural Term Loan,Mysuru,Irrigated,3.91,52197
Pulses,PM Kisan Loan,Raichur,Rainfed,3.16,19564
Wheat,Crop Loan,Kalaburagi,Irrigated,2.43,30881
Silk,Agricultural Term Loan,Chikkaballapur,Dryland,1.28,58904
Fish Farming,NABARD Infrastructure Loan,Uttara Kannada,Wetland,1.97,78391
Silk,Sericulture Loan,Ramanagara,Irrigated,1.28,74360
Beekeeping,Apiculture Loan,Shivamogga,Forest edge,0.96,69205
Silk,Agricultural Term Loan,Ramanagara,Dryland,2.67,71639
Banana,Horticulture Loan,Mysuru,Irrigated,1.88,43674
Tea,NABARD Refinance Scheme,Chikkamagaluru,Wetland,2.37,79578
Groundnut,Crop Loan,Bengaluru Rural,Black cotton soil land,3.63,34388
Fish Farming,NABARD Infrastructure Loan,Dakshina Kannada,Wetland,1.92,68365
Coconut,Agri Infrastructure Loan,Dakshina Kannada,Coastal loamy,2.49,54262
Coffee,Horticulture Loan,Kodagu,Wetland,1.64,84147
Silk,Agricultural Term Loan,Kolar,Irrigated,2.98,56221
Pulses,NABARD Loan,Dharwad,Dryland,2.59,20200
Rice,Kisan Credit Card,Mandya,Irrigated,2.66,39879
Silk,Agricultural Term Loan,Ramanagara,Dryland,1.83,69813
Mango,Horticulture Loan,Kolar,Dryland,2.7,46610
Organic Vegetables,Organic Farming Loan,Mysuru,Dryland,2.33,35165
Floriculture,NABARD Loan,Bengaluru Urban,Irrigated,0.75,61551
Silk,Sericulture Loan,Ramanagara,Dryland,1.85,67130
Floriculture,NABARD Loan,Bengaluru Urban,Irrigated,1.37,51790
Beekeeping,Apiculture Loan,Kodagu,Dryland,0.7,52435
Maize,Crop Loan,Chikkaballapur,Dryland,3.78,26272
Coffee,Plantation Development Loan,Chikkamagaluru,Wetland,0.55,83456
Maize,Crop Loan,Davanagere,Dryland,3.0,26276
Coconut,Plantation Loan,Udupi,Coastal loamy,2.9,49925
Silk,Agricultural Term Loan,Kolar,Irrigated,2.27,55258
Rice,Irrigation Loan,Mandya,Wetland,2.98,32686
Fish Farming,NABARD Infrastructure Loan,Dakshina Kannada,Wetland,1.84,86624
Coconut,Plantation Loan,Dakshina Kannada,Coastal loamy,3.14,41879
Coffee,NABARD Loan,Kodagu,Black cotton soil land,0.81,83068
Banana,Horticulture Loan,Mysuru,Wetland,2.77,42855
Cotton,Kisan Credit Card,Dharwad,Black cotton soil land,3.21,38400
Tea,NABARD Refinance Scheme,Chikkamagaluru,Hill slope,2.16,77695
Organic Vegetables,Horticulture Loan,Dharwad,Dryland,1.26,45090
Rice,Kisan Credit Card,Mandya,Irrigated,1.88,34670
Beekeeping,Agri Clinic Loan,Chamarajanagar,Forest edge,1.66,66662
Pulses,Organic Farming Loan,Gadag,Dryland,2.33,19768
Rice,Crop Loan,Mandya,Irrigated,2.36,36889
Pulses,PM Kisan Loan,Bidar,Dryland,1.08,24332
Silk,NABARD Loan,Chikkaballapur,Irrigated,1.6,69555
Sugarcane,Irrigation Loan,Mandya,Black cotton soil land,3.03,51516
Banana,Horticulture Loan,Mysuru,Wetland,2.63,53631
Beekeeping,Agri Clinic Loan,Kodagu,Dryland,0.96,54809
Cotton,Kisan Credit Card,Gadag,Dryland,4.89,34844
Maize,Farm Mechanization Loan,Davanagere,Dryland,4.12,26756
Pulses,PM Kisan Loan,Gadag,Rainfed,1.67,23844
Fish Farming,Fisheries Loan,Udupi,Wetland,1.01,66126
Coconut,Plantation Loan,Udupi,Irrigated,2.22,47300
Coconut,Agri Infrastructure Loan,Udupi,Irrigated,3.31,41065
Organic Vegetables,Organic Farming Loan,Dharwad,Irrigated,1.43,36255
Millets,PM Kisan Loan,Tumakuru,Rainfed,2.97,21972
Tea,NABARD Refinance Scheme,Chikkamagaluru,Hill slope,1.31,83635
Coffee,Plantation Development Loan,Chikkamagaluru,Black cotton soil land,1.98,70630
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,2.01,76918
Beekeeping,Apiculture Loan,Chamarajanagar,Forest edge,0.62,57510
Wheat,Crop Loan,Vijayapura,Dryland,2.84,32530
Pulses,PM Kisan Loan,Bidar,Rainfed,3.2,22827
Mango,Organic Farming Loan,Ramanagara,Dryland,1.16,45560
Cotton,Kisan Credit Card,Haveri,Black cotton soil land,2.79,33068
Pulses,Organic Farming Loan,Raichur,Rainfed,3.6,24187
Coconut,Plantation Loan,Tumakuru,Coastal loamy,2.37,47148
Beekeeping,Apiculture Loan,Kodagu,Forest edge,1.59,61766
Coconut,Agri Infrastructure Loan,Tumakuru,Irrigated,2.71,46940
Groundnut,Organic Farming Loan,Bengaluru Rural,Dryland,4.91,31591
Banana,Irrigation Loan,Mysuru,Wetland,2.65,46006
Millets,PM Kisan Loan,Koppal,Rainfed,2.67,17972
Silk,NABARD Loan,Ramanagara,Dryland,1.23,57614
Coffee,NABARD Loan,Hassan,Black cotton soil land,1.49,86637
Floriculture,NABARD Loan,Tumakuru,Irrigated,1.35,61431
Wheat,Crop Loan,Vijayapura,Irrigated,1.91,28978
Floriculture,Floriculture Loan,Doddaballapura,Polyhouse,0.73,71577
Wheat,Crop Loan,Vijayapura,Dryland,2.75,33881
Beekeeping,Agri Clinic Loan,Kodagu,Forest edge,1.66,64460
Coffee,Horticulture Loan,Hassan,Black cotton soil land,1.55,85913
Millets,Soil Health Card Loan,Koppal,Dryland,4.07,21855
Groundnut,Crop Loan,Chikkaballapur,Dryland,3.98,20422
Mango,Organic Farming Loan,Kolar,Dryland,1.79,43137
Cotton,Pest Management Loan,Gadag,Black cotton soil land,2.37,38904
Pulses,NABARD Loan,Gadag,Rainfed,2.53,23148
Cotton,Pest Management Loan,Gadag,Black cotton soil land,4.61,35708
Mango,Organic Farming Loan,Chikkaballapur,Dryland,3.1,49247
Wheat,Crop Loan,Kalaburagi,Dryland,3.37,28075
Mango,Horticulture Loan,Chikkaballapur,Black cotton soil land,1.34,40971
Mango,Organic Farming Loan,Ramanagara,Black cotton soil land,3.72,39728
Maize,Crop Loan,Chikkaballapur,Rainfed,2.85,22995
Coconut,Agri Infrastructure Loan,Dakshina Kannada,Irrigated,3.56,59851
Silk,Sericulture Loan,Kolar,Dryland,2.16,50377
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,2.28,72475
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,1.06,93098
Organic Vegetables,Horticulture Loan,Dharwad,Dryland,2.08,49176
Sugarcane,Farm Mechanization Loan,Mandya,Black cotton soil land,2.85,59158
Fish Farming,NABARD Infrastructure Loan,Uttara Kannada,Wetland,2.1,93321
Banana,Horticulture Loan,Mysuru,Wetland,3.38,46961
Floriculture,Floriculture Loan,Doddaballapura,Polyhouse,1.99,73590
Tea,NABARD Refinance Scheme,Chikkamagaluru,Hill slope,1.88,75851
Organic Vegetables,Horticulture Loan,Dharwad,Irrigated,1.94,35804
Banana,Horticulture Loan,Mysuru,Wetland,2.89,42006
Floriculture,NABARD Loan,Bengaluru Urban,Polyhouse,1.61,62968
Groundnut,Organic Farming Loan,Bengaluru Rural,Black cotton soil land,3.02,31134
Millets,PM Kisan Loan,Koppal,Rainfed,5.07,16839
Millets,Soil Health Card Loan,Koppal,Dryland,2.85,18856
Coffee,NABARD Loan,Hassan,Black cotton soil land,1.42,77441
Sugarcane,Irrigation Loan,Mandya,Irrigated,5.62,47802
Coffee,Horticulture Loan,Chikkamagaluru,Black cotton soil land,0.59,61156
Groundnut,Crop Loan,Chikkaballapur,Dryland,4.76,33473
Banana,Horticulture Loan,Mandya,Irrigated,2.33,52711
Organic Vegetables,Horticulture Loan,Tumakuru,Dryland,2.16,39131
Groundnut,Organic Farming Loan,Chikkaballapur,Black cotton soil land,4.35,29020
Maize,Crop Loan,Davanagere,Dryland,3.88,27235
Rice,Crop Loan,Mysuru,Wetland,3.51,36996
Groundnut,Crop Loan,Bengaluru Rural,Black cotton soil land,4.1,33899
Maize,Farm Mechanization Loan,Gadag,Rainfed,3.58,21958
Tea,Plantation Development Loan,Chikkamagaluru,Hill slope,1.79,76183
Banana,Irrigation Loan,Mandya,Wetland,3.12,48848
Mango,Organic Farming Loan,Ramanagara,Black cotton soil land,3.31,45102
Coconut,Agri Infrastructure Loan,Dakshina Kannada,Coastal loamy,2.19,53229
Mango,Horticulture Loan,Chikkaballapur,Black cotton soil land,2.93,53765
Organic Vegetables,Horticulture Loan,Mysuru,Irrigated,1.25,42487
Groundnut,Organic Farming Loan,Bengaluru Rural,Black cotton soil land,4.63,31354
Coffee,Horticulture Loan,Kodagu,Wetland,1.93,74216
Beekeeping,Apiculture Loan,Kodagu,Dryland,1.99,65299
Floriculture,NABARD Loan,Tumakuru,Polyhouse,1.42,53437
Pulses,Organic Farming Loan,Gadag,Rainfed,3.29,24290
Coconut,Plantation Loan,Tumakuru,Irrigated,2.62,50697
Cotton,Crop Loan,Dharwad,Black cotton soil land,4.28,32582
Groundnut,Crop Loan,Tumakuru,Black cotton soil land,2.43,34797
Wheat,Crop Loan,Kalaburagi,Dryland,3.3,29917
Silk,Agricultural Term Loan,Chikkaballapur,Irrigated,1.17,61977
Groundnut,Crop Loan,Tumakuru,Black cotton soil land,2.47,34771
Groundnut,Organic Farming Loan,Bengaluru Rural,Black cotton soil land,2.88,33633
Beekeeping,Agri Clinic Loan,Shivamogga,Dryland,0.7,68380
Coffee,Horticulture Loan,Kodagu,Wetland,1.06,64134
Organic Vegetables,Organic Farming Loan,Dharwad,Dryland,1.52,47107
Organic Vegetables,Horticulture Loan,Dharwad,Dryland,1.68,38374
Pulses,PM Kisan Loan,Bidar,Dryland,1.67,21949
Coconut,Plantation Loan,Tumakuru,Coastal loamy,1.33,49466
Rice,Kisan Credit Card,Raichur,Irrigated,3.46,31873
Maize,Farm Mechanization Loan,Chikkaballapur,Dryland,3.19,26184
Silk,Sericulture Loan,Chikkaballapur,Dryland,1.78,69485
Millets,Organic Farming Loan,Koppal,Rainfed,4.29,19572
Cotton,Pest Management Loan,Ballari,Dryland,2.83,41305
Banana,Horticulture Loan,Mandya,Irrigated,3.44,47804
Wheat,Crop Loan,Kalaburagi,Dryland,3.56,30919
Organic Vegetables,Organic Farming Loan,Tumakuru,Dryland,2.35,41906
Sugarcane,Agricultural Term Loan,Mandya,Irrigated,5.01,46480
Tea,NABARD Refinance Scheme,Chikkamagaluru,Wetland,1.03,79898
Tea,NABARD Refinance Scheme,Chikkamagaluru,Wetland,1.11,85827
Groundnut,Crop Loan,Tumakuru,Dryland,3.25,32869
Organic Vegetables,Organic Farming Loan,Mysuru,Irrigated,2.65,44299
Floriculture,NABARD Loan,Bengaluru Urban,Polyhouse,0.64,61631
Beekeeping,Apiculture Loan,Shivamogga,Forest edge,1.86,63084
Maize,Farm Mechanization Loan,Gadag,Rainfed,3.19,31010
Rice,Kisan Credit Card,Raichur,Wetland,2.38,38028
Tea,NABARD Refinance Scheme,Chikkamagaluru,Wetland,1.1,72565
Wheat,PM Kisan Loan,Bagalkot,Irrigated,4.61,30525
Beekeeping,Apiculture Loan,Chamarajanagar,Forest edge,1.84,69722
Coconut,Plantation Loan,Udupi,Coastal loamy,1.37,51644
Groundnut,Crop Loan,Chikkaballapur,Black cotton soil land,2.51,25589
Banana,Horticulture Loan,Mysuru,Irrigated,1.63,45257
Floriculture,Floriculture Loan,Doddaballapura,Polyhouse,1.17,74271
Banana,Irrigation Loan,Mandya,Irrigated,1.85,50671
Silk,Sericulture Loan,Chikkaballapur,Irrigated,1.27,51671
Millets,Soil Health Card Loan,Koppal,Rainfed,4.71,15059
Coconut,Agri Infrastructure Loan,Udupi,Irrigated,1.37,55131
Beekeeping,Agri Clinic Loan,Shivamogga,Forest edge,1.38,58279
Coffee,NABARD Loan,Hassan,Black cotton soil land,0.64,82326
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,1.34,85204
Mango,Organic Farming Loan,Kolar,Dryland,3.79,59406
Floriculture,NABARD Loan,Tumakuru,Irrigated,0.79,61706
Cotton,Crop Loan,Ballari,Dryland,2.07,31467
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,1.03,81107
Floriculture,NABARD Loan,Doddaballapura,Irrigated,1.12,73331
Beekeeping,Agri Clinic Loan,Kodagu,Forest edge,1.34,64495
Tea,Plantation Development Loan,Chikkamagaluru,Hill slope,1.48,90826
Coffee,Horticulture Loan,Kodagu,Black cotton soil land,1.35,68674
Floriculture,Floriculture Loan,Bengaluru Urban,Irrigated,0.67,70184
Coconut,Agri Infrastructure Loan,Udupi,Coastal loamy,3.52,47517
Fish Farming,Fisheries Loan,Udupi,Wetland,1.92,61823
Maize,Farm Mechanization Loan,Chikkaballapur,Rainfed,2.8,31763
Mango,Organic Farming Loan,Kolar,Black cotton soil land,1.87,46798
Wheat,PM Kisan Loan,Bagalkot,Dryland,4.69,34457
Maize,Crop Loan,Gadag,Rainfed,4.48,24040
Cotton,Kisan Credit Card,Ballari,Dryland,3.98,37425
Fish Farming,NABARD Infrastructure Loan,Uttara Kannada,Wetland,1.34,86772
Coconut,Plantation Loan,Dakshina Kannada,Irrigated,2.15,55018
Millets,Organic Farming Loan,Koppal,Rainfed,4.61,18336
Sugarcane,Irrigation Loan,Bagalkot,Black cotton soil land,5.34,52011
Cotton,Kisan Credit Card,Ballari,Dryland,3.54,31496
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,2.42,60079
Maize,Crop Loan,Chikkaballapur,Dryland,4.28,30551
Cotton,Pest Management Loan,Gadag,Black cotton soil land,3.85,31523
Coconut,Plantation Loan,Dakshina Kannada,Irrigated,1.03,43538
Cotton,Crop Loan,Haveri,Dryland,4.4,42262
Mango,Organic Farming Loan,Kolar,Dryland,2.5,55892
Mango,Horticulture Loan,Ramanagara,Black cotton soil land,3.66,44426
Millets,Soil Health Card Loan,Koppal,Dryland,3.4,21912
Floriculture,Floriculture Loan,Bengaluru Urban,Polyhouse,1.37,69340
Coconut,Agri Infrastructure Loan,Udupi,Coastal loamy,2.91,59580
Groundnut,Organic Farming Loan,Tumakuru,Dryland,2.15,25292
Maize,Farm Mechanization Loan,Chikkaballapur,Dryland,4.03,30818
Mango,Horticulture Loan,Kolar,Black cotton soil land,3.51,47094
Maize,Farm Mechanization Loan,Chikkaballapur,Dryland,4.6,27548
