CropType,Location,LandType,LandSize,Income,LoanName
Wheat,Bagalkot,Dryland,3.52,29185,PM Kisan Loan
Sugarcane,Bagalkot,Irrigated,4.99,55824,Farm Mechanization Loan
Sugarcane,Bagalkot,Irrigated,3.59,58590,Farm Mechanization Loan
Sugarcane,Bagalkot,Irrigated,5.04,53018,Agricultural Term Loan
Wheat,Bagalkot,Irrigated,2.63,31371,PM Kisan Loan
Sugarcane,Bagalkot,Black cotton soil land,3.64,48137,Irrigation Loan
Sugarcane,Bagalkot,Irrigated,4.99,55824,Farm Mechanization Loan
Sugarcane,Bagalkot,Irrigated,4.15,54972,Agricultural Term Loan
Wheat,Bagalkot,Dryland,2.37,25706,Crop Loan
Wheat,Bagalkot,Dryland,2.03,29533,Crop Loan
Wheat,Bagalkot,Dryland,3.3,33275,PM Kisan Loan
Wheat,Bagalkot,Irrigated,4.0,29640,PM Kisan Loan
Wheat,Bagalkot,Dryland,2.21,26539,PM Kisan Loan
Wheat,Bagalkot,Irrigated,4.67,25817,Crop Loan
Wheat,Bagalkot,Irrigated,2.15,33371,PM Kisan Loan
Sugarcane,Bagalkot,Irrigated,4.94,50476,Farm Mechanization Loan
Wheat,Bagalkot,Dryland,3.42,33243,PM Kisan Loan
Sugarcane,Bagalkot,Irrigated,2.58,48536,Agricultural Term Loan
Sugarcane,Bagalkot,Irrigated,4.59,45468,Agricultural Term Loan
Sugarcane,Bagalkot,Black cotton soil land,2.25,53889,Irrigation Loan
Sugarcane,Bagalkot,Black cotton soil land,3.43,59583,Agricultural Term Loan
Sugarcane,Bagalkot,Black cotton soil land,5.97,45194,Farm Mechanization Loan
Sugarcane,Bagalkot,Black cotton soil land,5.67,52171,Agricultural Term Loan
Sugarcane,Bagalkot,Irrigated,2.15,47474,Agricultural Term Loan
Wheat,Bagalkot,Irrigated,1.57,25214,Crop Loan
Sugarcane,Bagalkot,Black cotton soil land,3.22,58114,Irrigation Loan
Wheat,Bagalkot,Irrigated,1.56,31583,Crop Loan
Wheat,Bagalkot,Dryland,3.17,31373,PM Kisan Loan
Sugarcane,Bagalkot,Irrigated,4.15,54972,Agricultural Term Loan
Wheat,Bagalkot,Dryland,3.52,29185,PM Kisan Loan
Sugarcane,Bagalkot,Black cotton soil land,3.76,47459,Agricultural Term Loan
Sugarcane,Bagalkot,Black cotton soil land,4.33,49408,Farm Mechanization Loan
Wheat,Bagalkot,Dryland,2.57,31268,PM Kisan Loan
Sugarcane,Bagalkot,Black cotton soil land,3.46,57655,Irrigation Loan
Wheat,Bagalkot,Irrigated,3.8,33638,Crop Loan
Wheat,Bagalkot,Dryland,4.69,34457,PM Kisan Loan
Wheat,Bagalkot,Dryland,1.55,25920,PM Kisan Loan
Sugarcane,Bagalkot,Black cotton soil land,2.25,53889,Irrigation Loan
Wheat,Bagalkot,Irrigated,3.95,33876,Crop Loan
Sugarcane,Bagalkot,Black cotton soil land,5.35,59159,Farm Mechanization Loan
Wheat,Bagalkot,Dryland,2.3,33033,PM Kisan Loan
Sugarcane,Bagalkot,Irrigated,5.71,54737,Farm Mechanization Loan
Wheat,Bagalkot,Dryland,1.6,28597,Crop Loan
Wheat,Bagalkot,Irrigated,1.81,27281,PM Kisan Loan
Wheat,Bagalkot,Dryland,4.69,31719,Crop Loan
Wheat,Bagalkot,Irrigated,2.56,32485,PM Kisan Loan
Sugarcane,Bagalkot,Black cotton soil land,4.33,49408,Farm Mechanization Loan
Sugarcane,Bagalkot,Irrigated,5.04,53018,Agricultural Term Loan
Wheat,Bagalkot,Irrigated,3.82,34171,PM Kisan Loan
Wheat,Bagalkot,Dryland,3.49,25926,PM Kisan Loan
Wheat,Bagalkot,Dryland,2.43,30130,PM Kisan Loan
Wheat,Bagalkot,Irrigated,4.22,27238,PM Kisan Loan
Wheat,Bagalkot,Dryland,1.78,27524,PM Kisan Loan
Wheat,Bagalkot,Irrigated,4.31,30805,PM Kisan Loan
Wheat,Bagalkot,Dryland,2.58,30222,Crop Loan
Wheat,Bagalkot,Irrigated,1.78,27002,Crop Loan
Wheat,Bagalkot,Dryland,4.54,26096,Crop Loan
Sugarcane,Bagalkot,Black cotton soil land,3.6,46600,Farm Mechanization Loan
Sugarcane,Bagalkot,Irrigated,2.82,45377,Agricultural Term Loan
Wheat,Bagalkot,Irrigated,3.03,26986,Crop Loan
Wheat,Bagalkot,Irrigated,2.6,30034,PM Kisan Loan
Wheat,Bagalkot,Dryland,1.89,30911,PM Kisan Loan
Wheat,Bagalkot,Irrigated,4.41,25763,PM Kisan Loan
Wheat,Bagalkot,Irrigated,2.13,32110,Crop Loan
Sugarcane,Bagalkot,Irrigated,2.97,58262,Agricultural Term Loan
Wheat,Bagalkot,Irrigated,3.02,34943,PM Kisan Loan
Wheat,Bagalkot,Irrigated,2.46,29721,Crop Loan
Wheat,Bagalkot,Irrigated,4.31,26665,PM Kisan Loan
Wheat,Bagalkot,Dryland,1.87,34445,PM Kisan Loan
Wheat,Bagalkot,Dryland,4.51,28771,PM Kisan Loan
Sugarcane,Bagalkot,Irrigated,5.33,47935,Farm Mechanization Loan
Sugarcane,Bagalkot,Black cotton soil land,5.97,45194,Farm Mechanization Loan
Sugarcane,Bagalkot,Irrigated,2.68,45432,Irrigation Loan
Sugarcane,Bagalkot,Irrigated,5.33,47935,Farm Mechanization Loan
Wheat,Bagalkot,Irrigated,2.19,28074,Crop Loan
Sugarcane,Bagalkot,Black cotton soil land,4.87,51675,Agricultural Term Loan
Sugarcane,Bagalkot,Irrigated,2.58,48536,Agricultural Term Loan
Sugarcane,Bagalkot,Black cotton soil land,5.45,56127,Farm Mechanization Loan
Sugarcane,Bagalkot,Irrigated,5.22,45489,Agricultural Term Loan
Wheat,Bagalkot,Dryland,2.07,29978,Crop Loan
Wheat,Bagalkot,Irrigated,2.6,30034,PM Kisan Loan
Sugarcane,Bagalkot,Irrigated,3.97,48505,Agricultural Term Loan
Wheat,Bagalkot,Dryland,3.79,25535,PM Kisan Loan
Sugarcane,Bagalkot,Black cotton soil land,5.34,52011,Irrigation Loan
Sugarcane,Bagalkot,Irrigated,2.82,45377,Agricultural Term Loan
Sugarcane,Bagalkot,Irrigated,4.61,58105,Agricultural Term Loan
Wheat,Bagalkot,Irrigated,2.48,29029,PM Kisan Loan
Sugarcane,Bagalkot,Irrigated,5.44,45879,Farm Mechanization Loan
Wheat,Bagalkot,Dryland,2.96,30583,PM Kisan Loan
Wheat,Bagalkot,Dryland,2.23,30989,Crop Loan
Sugarcane,Bagalkot,Black cotton soil land,2.22,51891,Farm Mechanization Loan
Sugarcane,Bagalkot,Irrigated,5.71,54737,Farm Mechanization Loan
Wheat,Bagalkot,Dryland,2.85,34405,PM Kisan Loan
Sugarcane,Bagalkot,Irrigated,5.88,45136,Agricultural Term Loan
Sugarcane,Bagalkot,Irrigated,2.53,58169,Irrigation Loan
Sugarcane,Bagalkot,Black cotton soil land,4.88,58132,Farm Mechanization Loan
Sugarcane,Bagalkot,Black cotton soil land,5.07,58208,Agricultural Term Loan
Sugarcane,Bagalkot,Irrigated,2.83,58385,Farm Mechanization Loan
Wheat,Bagalkot,Dryland,3.76,34090,PM Kisan Loan
Sugarcane,Bagalkot,Black cotton soil land,5.1,54564,Farm Mechanization Loan
Sugarcane,Bagalkot,Black cotton soil land,3.76,47459,Agricultural Term Loan
Wheat,Bagalkot,Irrigated,2.27,26048,PM Kisan Loan
Sugarcane,Bagalkot,Black cotton soil land,3.87,49264,Agricultural Term Loan
Sugarcane,Bagalkot,Irrigated,5.88,45136,Agricultural Term Loan
Sugarcane,Bagalkot,Irrigated,5.88,45136,Agricultural Term Loan
Wheat,Bagalkot,Irrigated,3.68,26087,PM Kisan Loan
Wheat,Bagalkot,Dryland,1.89,34271,PM Kisan Loan
Sugarcane,Bagalkot,Black cotton soil land,5.98,50964,Agricultural Term Loan
Sugarcane,Bagalkot,Black cotton soil land,5.35,59159,Farm Mechanization Loan
Sugarcane,Bagalkot,Black cotton soil land,5.34,52011,Irrigation Loan
Sugarcane,Bagalkot,Irrigated,5.44,45619,Agricultural Term Loan
Sugarcane,Bagalkot,Black cotton soil land,5.29,58383,Farm Mechanization Loan
Sugarcane,Bagalkot,Black cotton soil land,5.1,54564,Farm Mechanization Loan
Sugarcane,Bagalkot,Black cotton soil land,2.74,53472,Farm Mechanization Loan
Wheat,Bagalkot,Dryland,3.13,26891,PM Kisan Loan
Sugarcane,Bagalkot,Irrigated,4.15,54972,Agricultural Term Loan
Sugarcane,Bagalkot,Irrigated,2.83,59963,Agricultural Term Loan
Wheat,Bagalkot,Irrigated,2.5,32868,Crop Loan
Sugarcane,Bagalkot,Black cotton soil land,4.41,47118,Agricultural Term Loan
Sugarcane,Bagalkot,Irrigated,4.29,53176,Agricultural Term Loan
Sugarcane,Bagalkot,Black cotton soil land,4.33,48720,Farm Mechanization Loan
Wheat,Bagalkot,Irrigated,1.78,34602,PM Kisan Loan
Sugarcane,Bagalkot,Black cotton soil land,2.19,52683,Farm Mechanization Loan
Sugarcane,Bagalkot,Irrigated,3.88,45722,Irrigation Loan
Sugarcane,Bagalkot,Black cotton soil land,4.24,53447,Irrigation Loan
Wheat,Bagalkot,Dryland,4.84,27018,PM Kisan Loan
Wheat,Bagalkot,Dryland,2.16,33381,Crop Loan
Wheat,Bagalkot,Irrigated,2.69,29362,Crop Loan
Sugarcane,Bagalkot,Black cotton soil land,4.88,58132,Farm Mechanization Loan
Sugarcane,Bagalkot,Black cotton soil land,4.77,57827,Agricultural Term Loan
Wheat,Bagalkot,Dryland,4.02,29343,Crop Loan
Wheat,Bagalkot,Dryland,4.88,28669,PM Kisan Loan
Sugarcane,Bagalkot,Irrigated,5.44,45879,Farm Mechanization Loan
Wheat,Bagalkot,Irrigated,4.81,25646,PM Kisan Loan
Sugarcane,Bagalkot,Black cotton soil land,2.18,45656,Irrigation Loan
Sugarcane,Bagalkot,Irrigated,2.67,55693,Agricultural Term Loan
Sugarcane,Bagalkot,Irrigated,4.15,54972,Agricultural Term Loan
Cotton,Ballari,Black cotton soil land,2.68,39390,Kisan Credit Card
Cotton,Ballari,Black cotton soil land,2.33,31500,Pest Management Loan
Millets,Ballari,Dryland,5.6,18876,PM Kisan Loan
Cotton,Ballari,Black cotton soil land,2.36,35830,Kisan Credit Card
Millets,Ballari,Rainfed,5.97,16446,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,2.38,44296,Pest Management Loan
Millets,Ballari,Rainfed,3.55,18992,Soil Health Card Loan
Cotton,Ballari,Dryland,2.71,35253,Pest Management Loan
Cotton,Ballari,Black cotton soil land,3.79,37309,Kisan Credit Card
Cotton,Ballari,Dryland,2.46,43314,Pest Management Loan
Millets,Ballari,Rainfed,2.65,16898,Soil Health Card Loan
Cotton,Ballari,Dryland,2.84,40850,Pest Management Loan
Cotton,Ballari,Dryland,2.84,40850,Pest Management Loan
Cotton,Ballari,Black cotton soil land,2.36,35830,Kisan Credit Card
Millets,Ballari,Dryland,5.84,20383,Organic Farming Loan
Cotton,Ballari,Black cotton soil land,3.62,35258,Kisan Credit Card
Millets,Ballari,Dryland,2.55,21992,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,3.2,40732,Pest Management Loan
Millets,Ballari,Rainfed,5.97,16446,Soil Health Card Loan
Cotton,Ballari,Dryland,3.45,36609,Kisan Credit Card
Cotton,Ballari,Dryland,2.66,31484,Kisan Credit Card
Millets,Ballari,Dryland,2.33,15380,PM Kisan Loan
Millets,Ballari,Dryland,4.38,19435,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,2.14,30813,Kisan Credit Card
Cotton,Ballari,Dryland,3.78,43607,Crop Loan
Cotton,Ballari,Black cotton soil land,3.2,40732,Pest Management Loan
Cotton,Ballari,Black cotton soil land,3.47,38265,Pest Management Loan
Millets,Ballari,Rainfed,2.4,20698,Soil Health Card Loan
Millets,Ballari,Rainfed,5.34,16021,Soil Health Card Loan
Millets,Ballari,Rainfed,5.42,19981,Soil Health Card Loan
Millets,Ballari,Dryland,2.07,17112,Soil Health Card Loan
Cotton,Ballari,Dryland,4.68,44282,Kisan Credit Card
Millets,Ballari,Rainfed,3.3,19278,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,2.86,39697,Kisan Credit Card
Cotton,Ballari,Black cotton soil land,2.95,30125,Pest Management Loan
Cotton,Ballari,Dryland,3.71,30071,Pest Management Loan
Millets,Ballari,Rainfed,3.63,15714,Soil Health Card Loan
Millets,Ballari,Dryland,4.3,21132,Soil Health Card Loan
Millets,Ballari,Dryland,5.23,21149,Soil Health Card Loan
Millets,Ballari,Dryland,5.19,16909,Soil Health Card Loan
Millets,Ballari,Rainfed,5.18,20909,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,3.84,35354,Kisan Credit Card
Cotton,Ballari,Black cotton soil land,2.83,43310,Pest Management Loan
Cotton,Ballari,Black cotton soil land,4.31,40845,Kisan Credit Card
Millets,Ballari,Rainfed,2.4,20698,Soil Health Card Loan
Millets,Ballari,Rainfed,5.18,20909,Soil Health Card Loan
Cotton,Ballari,Dryland,2.84,40850,Pest Management Loan
Cotton,Ballari,Black cotton soil land,2.14,30813,Kisan Credit Card
Millets,Ballari,Dryland,2.33,15380,PM Kisan Loan
Millets,Ballari,Dryland,3.48,16142,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,2.27,44576,Pest Management Loan
Cotton,Ballari,Black cotton soil land,4.0,30477,Kisan Credit Card
Millets,Ballari,Rainfed,4.31,17777,Soil Health Card Loan
Millets,Ballari,Rainfed,5.18,20909,Soil Health Card Loan
Millets,Ballari,Dryland,3.09,21925,Soil Health Card Loan
Cotton,Ballari,Dryland,4.09,32661,Pest Management Loan
Millets,Ballari,Rainfed,3.6,19907,Soil Health Card Loan
Cotton,Ballari,Dryland,3.32,32607,Pest Management Loan
Millets,Ballari,Dryland,3.26,17455,Soil Health Card Loan
Cotton,Ballari,Dryland,3.57,36838,Pest Management Loan
Millets,Ballari,Rainfed,2.34,19465,Soil Health Card Loan
Cotton,Ballari,Dryland,2.4,42713,Pest Management Loan
Cotton,Ballari,Black cotton soil land,2.33,31500,Pest Management Loan
Cotton,Ballari,Black cotton soil land,4.8,38455,Kisan Credit Card
Cotton,Ballari,Dryland,4.24,43997,Pest Management Loan
Cotton,Ballari,Dryland,3.71,30071,Pest Management Loan
Millets,Ballari,Dryland,3.76,21255,Organic Farming Loan
Millets,Ballari,Rainfed,5.65,18933,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,4.74,35460,Kisan Credit Card
Cotton,Ballari,Dryland,2.83,41305,Pest Management Loan
Millets,Ballari,Rainfed,2.09,18217,PM Kisan Loan
Cotton,Ballari,Black cotton soil land,4.44,37933,Pest Management Loan
Millets,Ballari,Dryland,4.23,17257,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,2.38,44296,Pest Management Loan
Cotton,Ballari,Dryland,3.18,38743,Pest Management Loan
Millets,Ballari,Dryland,4.16,20374,Soil Health Card Loan
Millets,Ballari,Rainfed,5.65,18933,Soil Health Card Loan
Cotton,Ballari,Dryland,4.1,41575,Crop Loan
Millets,Ballari,Dryland,3.26,17455,Soil Health Card Loan
Millets,Ballari,Dryland,2.61,20377,PM Kisan Loan
Millets,Ballari,Dryland,4.23,17257,Soil Health Card Loan
Cotton,Ballari,Dryland,3.04,42310,Kisan Credit Card
Cotton,Ballari,Black cotton soil land,4.43,31078,Kisan Credit Card
Cotton,Ballari,Dryland,4.68,44282,Kisan Credit Card
Cotton,Ballari,Black cotton soil land,4.84,38257,Kisan Credit Card
Cotton,Ballari,Dryland,4.33,39605,Crop Loan
Cotton,Ballari,Dryland,3.09,39688,Pest Management Loan
Cotton,Ballari,Black cotton soil land,2.14,34937,Pest Management Loan
Millets,Ballari,Dryland,2.87,16899,Soil Health Card Loan
Millets,Ballari,Rainfed,5.34,16021,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,2.27,44576,Pest Management Loan
Cotton,Ballari,Black cotton soil land,3.79,37309,Kisan Credit Card
Cotton,Ballari,Black cotton soil land,2.14,34937,Pest Management Loan
Cotton,Ballari,Black cotton soil land,4.78,38983,Pest Management Loan
Cotton,Ballari,Dryland,3.36,36322,Kisan Credit Card
Millets,Ballari,Dryland,4.23,17257,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,2.14,34937,Pest Management Loan
Cotton,Ballari,Black cotton soil land,4.44,37933,Pest Management Loan
Cotton,Ballari,Dryland,3.15,36118,Kisan Credit Card
Cotton,Ballari,Dryland,2.89,42578,Kisan Credit Card
Cotton,Ballari,Dryland,3.85,33494,Pest Management Loan
Cotton,Ballari,Black cotton soil land,3.2,40732,Pest Management Loan
Millets,Ballari,Rainfed,5.65,18933,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,3.84,35354,Kisan Credit Card
Millets,Ballari,Dryland,2.35,16414,Soil Health Card Loan
Cotton,Ballari,Dryland,2.06,36856,Crop Loan
Cotton,Ballari,Black cotton soil land,4.74,35460,Kisan Credit Card
Millets,Ballari,Rainfed,2.65,16898,Soil Health Card Loan
Millets,Ballari,Rainfed,4.42,16308,PM Kisan Loan
Millets,Ballari,Rainfed,4.61,21685,Organic Farming Loan
Millets,Ballari,Dryland,3.04,19546,PM Kisan Loan
Millets,Ballari,Dryland,3.26,17455,Soil Health Card Loan
Cotton,Ballari,Dryland,4.75,33350,Kisan Credit Card
Cotton,Ballari,Black cotton soil land,2.27,44576,Pest Management Loan
Cotton,Ballari,Black cotton soil land,3.71,37025,Pest Management Loan
Cotton,Ballari,Black cotton soil land,4.59,30145,Pest Management Loan
Cotton,Ballari,Black cotton soil land,4.78,38983,Pest Management Loan
Cotton,Ballari,Black cotton soil land,2.93,40310,Pest Management Loan
Cotton,Ballari,Black cotton soil land,2.98,36597,Crop Loan
Cotton,Ballari,Dryland,2.46,43314,Pest Management Loan
Cotton,Ballari,Black cotton soil land,4.5,31279,Pest Management Loan
Millets,Ballari,Dryland,4.73,20275,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,2.23,39083,Crop Loan
Cotton,Ballari,Black cotton soil land,2.45,41139,Pest Management Loan
Millets,Ballari,Rainfed,3.19,15451,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,2.52,39660,Pest Management Loan
Millets,Ballari,Dryland,3.91,18922,Organic Farming Loan
Millets,Ballari,Dryland,5.98,18988,PM Kisan Loan
Cotton,Ballari,Black cotton soil land,3.2,40732,Pest Management Loan
Millets,Ballari,Rainfed,5.91,17868,PM Kisan Loan
Millets,Ballari,Rainfed,4.4,16019,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,2.93,40310,Pest Management Loan
Cotton,Ballari,Dryland,3.65,31328,Crop Loan
Millets,Ballari,Dryland,5.6,18876,PM Kisan Loan
Cotton,Ballari,Black cotton soil land,4.84,38257,Kisan Credit Card
Cotton,Ballari,Black cotton soil land,2.36,35830,Kisan Credit Card
Cotton,Ballari,Black cotton soil land,2.45,41139,Pest Management Loan
Cotton,Ballari,Black cotton soil land,4.8,38455,Kisan Credit Card
Millets,Ballari,Rainfed,4.65,19745,Organic Farming Loan
Cotton,Ballari,Dryland,3.45,36609,Kisan Credit Card
Millets,Ballari,Dryland,3.48,16142,Soil Health Card Loan
Millets,Ballari,Rainfed,3.04,17084,PM Kisan Loan
Millets,Ballari,Dryland,4.3,21132,Soil Health Card Loan
Cotton,Ballari,Dryland,3.76,36629,Pest Management Loan
Millets,Ballari,Rainfed,5.18,20909,Soil Health Card Loan
Millets,Ballari,Dryland,4.1,17775,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,2.38,44296,Pest Management Loan
Millets,Ballari,Rainfed,5.63,18494,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,4.62,33319,Kisan Credit Card
Millets,Ballari,Rainfed,5.43,21837,Organic Farming Loan
Millets,Ballari,Rainfed,5.97,16446,Soil Health Card Loan
Millets,Ballari,Rainfed,5.73,17970,Soil Health Card Loan
Millets,Ballari,Dryland,5.19,16909,Soil Health Card Loan
Millets,Ballari,Dryland,3.26,17455,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,4.5,31279,Pest Management Loan
Cotton,Ballari,Dryland,2.71,35253,Pest Management Loan
Cotton,Ballari,Dryland,2.84,40850,Pest Management Loan
Millets,Ballari,Dryland,5.96,15458,PM Kisan Loan
Millets,Ballari,Rainfed,5.65,18933,Soil Health Card Loan
Millets,Ballari,Dryland,4.38,19435,Soil Health Card Loan
Millets,Ballari,Rainfed,3.3,19278,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,4.7,30580,Pest Management Loan
Cotton,Ballari,Black cotton soil land,3.47,38265,Pest Management Loan
Cotton,Ballari,Black cotton soil land,2.83,43310,Pest Management Loan
Cotton,Ballari,Dryland,3.32,32607,Pest Management Loan
Cotton,Ballari,Black cotton soil land,2.95,30125,Pest Management Loan
Millets,Ballari,Rainfed,4.42,16308,PM Kisan Loan
Cotton,Ballari,Black cotton soil land,4.5,31279,Pest Management Loan
Millets,Ballari,Dryland,2.66,20524,Soil Health Card Loan
Millets,Ballari,Dryland,2.35,16414,Soil Health Card Loan
Cotton,Ballari,Dryland,4.24,43997,Pest Management Loan
Cotton,Ballari,Black cotton soil land,3.31,42085,Kisan Credit Card
Millets,Ballari,Rainfed,3.74,21662,Soil Health Card Loan
Millets,Ballari,Rainfed,3.6,19907,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,4.0,30477,Kisan Credit Card
Millets,Ballari,Rainfed,3.74,21662,Soil Health Card Loan
Cotton,Ballari,Dryland,3.91,37767,Pest Management Loan
Millets,Ballari,Dryland,2.84,16932,Soil Health Card Loan
Millets,Ballari,Dryland,5.15,16252,Organic Farming Loan
Millets,Ballari,Rainfed,5.64,15660,Organic Farming Loan
Millets,Ballari,Rainfed,3.63,15714,Soil Health Card Loan
Millets,Ballari,Rainfed,2.6,17179,Soil Health Card Loan
Cotton,Ballari,Dryland,3.45,36609,Kisan Credit Card
Cotton,Ballari,Black cotton soil land,4.59,30145,Pest Management Loan
Cotton,Ballari,Black cotton soil land,4.44,37933,Pest Management Loan
Cotton,Ballari,Dryland,3.15,36118,Kisan Credit Card
Millets,Ballari,Dryland,5.33,20954,PM Kisan Loan
Cotton,Ballari,Black cotton soil land,4.18,41417,Pest Management Loan
Millets,Ballari,Rainfed,2.34,19465,Soil Health Card Loan
Cotton,Ballari,Black cotton soil land,3.47,38265,Pest Management Loan
Sugarcane,Belagavi,Irrigated,5.54,47850,Farm Mechanization Loan
Sugarcane,Belagavi,Irrigated,2.11,48662,Farm Mechanization Loan
Sugarcane,Belagavi,Black cotton soil land,3.9,53068,Agricultural Term Loan
Sugarcane,Belagavi,Irrigated,2.11,48662,Farm Mechanization Loan
Sugarcane,Belagavi,Irrigated,5.19,58058,Irrigation Loan
Sugarcane,Belagavi,Black cotton soil land,2.62,48531,Agricultural Term Loan
Sugarcane,Belagavi,Black cotton soil land,5.79,45785,Agricultural Term Loan
Sugarcane,Belagavi,Black cotton soil land,2.63,51154,Irrigation Loan
Sugarcane,Belagavi,Irrigated,2.2,50873,Farm Mechanization Loan
Sugarcane,Belagavi,Black cotton soil land,3.03,53219,Agricultural Term Loan
Sugarcane,Belagavi,Irrigated,2.13,48656,Agricultural Term Loan
Sugarcane,Belagavi,Irrigated,3.62,51123,Irrigation Loan
Sugarcane,Belagavi,Black cotton soil land,4.8,56722,Agricultural Term Loan
Sugarcane,Belagavi,Black cotton soil land,4.36,50797,Agricultural Term Loan
Sugarcane,Belagavi,Black cotton soil land,5.79,45785,Agricultural Term Loan
Sugarcane,Belagavi,Irrigated,2.15,47207,Farm Mechanization Loan
Sugarcane,Belagavi,Black cotton soil land,2.88,50610,Agricultural Term Loan
Sugarcane,Belagavi,Black cotton soil land,5.06,52124,Agricultural Term Loan
