CropType,Location,LandType,LandSize,Income,LoanName
Groundnut,Bengaluru Rural,Black cotton soil land,3.94,21999,Crop Loan
Cotton,Gadag,Black cotton soil land,3.76,33306,Pest Management Loan
Sugarcane,Mandya,Black cotton soil land,5.11,56171,Agricultural Term Loan
Mango,Ramanagara,Black cotton soil land,2.37,44486,Organic Farming Loan
Coffee,Kodagu,Black cotton soil land,1.31,88691,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.5,86195,NABARD Loan
Cotton,Haveri,Black cotton soil land,3.43,32410,Kisan Credit Card
Sugarcane,Bagalkot,Black cotton soil land,5.39,49846,Irrigation Loan
Coffee,Hassan,Black cotton soil land,1.3,60879,NABARD Loan
Sugarcane,Belagavi,Black cotton soil land,4.66,57326,Farm Mechanization Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.64,69622,Plantation Development Loan
Sugarcane,Belagavi,Black cotton soil land,5.85,51973,Farm Mechanization Loan
Cotton,Gadag,Black cotton soil land,2.24,38070,Kisan Credit Card
Sugarcane,Mysuru,Black cotton soil land,5.98,45896,Irrigation Loan
Sugarcane,Mysuru,Black cotton soil land,5.04,53121,Farm Mechanization Loan
Cotton,Haveri,Black cotton soil land,3.41,35871,Pest Management Loan
Mango,Ramanagara,Black cotton soil land,3.24,36122,Organic Farming Loan
Cotton,Haveri,Black cotton soil land,4.63,39376,Pest Management Loan
Groundnut,Chikkaballapur,Black cotton soil land,3.52,32958,Crop Loan
Groundnut,Bengaluru Rural,Black cotton soil land,3.97,20394,Organic Farming Loan
Coffee,Kodagu,Black cotton soil land,1.59,79189,NABARD Loan
Cotton,Haveri,Black cotton soil land,2.79,32967,Pest Management Loan
Coffee,Kodagu,Black cotton soil land,0.94,69184,Plantation Development Loan
Mango,Ramanagara,Black cotton soil land,1.24,48707,Organic Farming Loan
Mango,Chikkaballapur,Black cotton soil land,2.8,39419,Horticulture Loan
Cotton,Gadag,Black cotton soil land,4.57,33074,Pest Management Loan
Coffee,Kodagu,Black cotton soil land,1.58,72365,Plantation Development Loan
Sugarcane,Belagavi,Black cotton soil land,4.29,46652,Farm Mechanization Loan
Cotton,Ballari,Black cotton soil land,3.85,36642,Pest Management Loan
Cotton,Ballari,Black cotton soil land,4.06,33154,Kisan Credit Card
Sugarcane,Belagavi,Black cotton soil land,4.6,56757,Farm Mechanization Loan
Cotton,Haveri,Black cotton soil land,3.92,33318,Pest Management Loan
Sugarcane,Belagavi,Black cotton soil land,4.6,56757,Farm Mechanization Loan
Coffee,Hassan,Black cotton soil land,1.53,72668,Horticulture Loan
Cotton,Gadag,Black cotton soil land,4.16,30785,Kisan Credit Card
Mango,Chikkaballapur,Black cotton soil land,2.19,52707,Horticulture Loan
Cotton,Ballari,Black cotton soil land,3.77,39401,Crop Loan
Cotton,Ballari,Black cotton soil land,4.4,36477,Kisan Credit Card
Sugarcane,Bagalkot,Black cotton soil land,3.34,47422,Irrigation Loan
Cotton,Gadag,Black cotton soil land,3.13,41203,Pest Management Loan
Coffee,Kodagu,Black cotton soil land,1.05,87717,Plantation Development Loan
Cotton,Haveri,Black cotton soil land,2.53,35316,Kisan Credit Card
Groundnut,Tumakuru,Black cotton soil land,4.71,20989,Organic Farming Loan
Sugarcane,Belagavi,Black cotton soil land,4.6,56757,Farm Mechanization Loan
Sugarcane,Mandya,Black cotton soil land,2.31,49430,Irrigation Loan
Sugarcane,Mysuru,Black cotton soil land,3.32,54528,Agricultural Term Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.71,62390,Plantation Development Loan
Sugarcane,Mysuru,Black cotton soil land,5.08,48274,Agricultural Term Loan
Cotton,Ballari,Black cotton soil land,3.15,44656,Crop Loan
Groundnut,Bengaluru Rural,Black cotton soil land,3.54,20302,Crop Loan
Sugarcane,Bagalkot,Black cotton soil land,5.75,46804,Farm Mechanization Loan
Coffee,Kodagu,Black cotton soil land,1.83,74414,NABARD Loan
Coffee,Hassan,Black cotton soil land,0.69,78012,Plantation Development Loan
Cotton,Haveri,Black cotton soil land,3.67,42808,Pest Management Loan
Groundnut,Bengaluru Rural,Black cotton soil land,3.13,20179,Organic Farming Loan
Sugarcane,Mandya,Black cotton soil land,3.89,48333,Irrigation Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.16,65282,Plantation Development Loan
Cotton,Ballari,Black cotton soil land,3.76,33563,Pest Management Loan
Sugarcane,Bagalkot,Black cotton soil land,5.86,53359,Irrigation Loan
Cotton,Dharwad,Black cotton soil land,2.99,40744,Kisan Credit Card
Cotton,Ballari,Black cotton soil land,2.28,34519,Pest Management Loan
Sugarcane,Mandya,Black cotton soil land,3.14,51984,Farm Mechanization Loan
Mango,Kolar,Black cotton soil land,2.82,50048,Horticulture Loan
Cotton,Ballari,Black cotton soil land,2.75,44078,Kisan Credit Card
Sugarcane,Mysuru,Black cotton soil land,3.12,49331,Farm Mechanization Loan
Groundnut,Tumakuru,Black cotton soil land,2.94,30200,Crop Loan
Sugarcane,Mandya,Black cotton soil land,3.41,48296,Irrigation Loan
Sugarcane,Bagalkot,Black cotton soil land,4.77,58119,Irrigation Loan
Groundnut,Bengaluru Rural,Black cotton soil land,3.22,28060,Crop Loan
Coffee,Hassan,Black cotton soil land,1.43,68170,Plantation Development Loan
Cotton,Gadag,Black cotton soil land,2.24,38070,Kisan Credit Card
Sugarcane,Mysuru,Black cotton soil land,3.48,53675,Agricultural Term Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.13,82194,Plantation Development Loan
Groundnut,Chikkaballapur,Black cotton soil land,2.01,27783,Organic Farming Loan
Coffee,Kodagu,Black cotton soil land,1.16,60091,Plantation Development Loan
Cotton,Dharwad,Black cotton soil land,4.8,39247,Pest Management Loan
Sugarcane,Mandya,Black cotton soil land,5.65,50181,Agricultural Term Loan
Groundnut,Tumakuru,Black cotton soil land,3.42,22155,Organic Farming Loan
Cotton,Dharwad,Black cotton soil land,3.22,38047,Crop Loan
Cotton,Haveri,Black cotton soil land,2.13,32084,Kisan Credit Card
Groundnut,Bengaluru Rural,Black cotton soil land,4.01,30045,Organic Farming Loan
Cotton,Dharwad,Black cotton soil land,4.93,32077,Kisan Credit Card
Cotton,Haveri,Black cotton soil land,3.21,43114,Kisan Credit Card
Groundnut,Bengaluru Rural,Black cotton soil land,2.2,29718,Organic Farming Loan
Cotton,Gadag,Black cotton soil land,4.68,38298,Crop Loan
Groundnut,Bengaluru Rural,Black cotton soil land,4.7,24028,Organic Farming Loan
Mango,Chikkaballapur,Black cotton soil land,3.19,44558,Horticulture Loan
Groundnut,Chikkaballapur,Black cotton soil land,3.2,30397,Organic Farming Loan
Sugarcane,Bagalkot,Black cotton soil land,2.47,50203,Agricultural Term Loan
Cotton,Ballari,Black cotton soil land,2.78,40134,Pest Management Loan
Cotton,Ballari,Black cotton soil land,3.85,36642,Pest Management Loan
Sugarcane,Mandya,Black cotton soil land,5.11,56171,Agricultural Term Loan
Sugarcane,Belagavi,Black cotton soil land,3.28,52695,Farm Mechanization Loan
Sugarcane,Mysuru,Black cotton soil land,3.1,49440,Farm Mechanization Loan
Cotton,Ballari,Black cotton soil land,3.43,39643,Kisan Credit Card
Cotton,Ballari,Black cotton soil land,4.03,38507,Pest Management Loan
Sugarcane,Bagalkot,Black cotton soil land,5.74,57975,Farm Mechanization Loan
Cotton,Ballari,Black cotton soil land,4.94,34381,Pest Management Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.46,85331,Horticulture Loan
Sugarcane,Mandya,Black cotton soil land,3.73,54657,Agricultural Term Loan
Groundnut,Chikkaballapur,Black cotton soil land,3.83,25350,Organic Farming Loan
Sugarcane,Mandya,Black cotton soil land,2.71,48392,Agricultural Term Loan
Groundnut,Bengaluru Rural,Black cotton soil land,3.99,28480,Crop Loan
Cotton,Ballari,Black cotton soil land,4.39,37485,Pest Management Loan
Cotton,Gadag,Black cotton soil land,4.99,39253,Pest Management Loan
Mango,Ramanagara,Black cotton soil land,1.57,35656,Organic Farming Loan
Cotton,Haveri,Black cotton soil land,2.46,35702,Pest Management Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.25,81968,Plantation Development Loan
Sugarcane,Belagavi,Black cotton soil land,3.8,57722,Irrigation Loan
Cotton,Haveri,Black cotton soil land,3.69,33839,Pest Management Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.68,68247,NABARD Loan
Sugarcane,Mysuru,Black cotton soil land,2.18,58419,Agricultural Term Loan
Cotton,Gadag,Black cotton soil land,3.8,39836,Pest Management Loan
Sugarcane,Mysuru,Black cotton soil land,2.78,57961,Irrigation Loan
Sugarcane,Belagavi,Black cotton soil land,4.69,45693,Irrigation Loan
Cotton,Ballari,Black cotton soil land,2.78,40134,Pest Management Loan
Cotton,Haveri,Black cotton soil land,2.01,31044,Pest Management Loan
Cotton,Gadag,Black cotton soil land,2.52,31612,Pest Management Loan
Sugarcane,Bagalkot,Black cotton soil land,2.79,52101,Irrigation Loan
Cotton,Ballari,Black cotton soil land,4.06,40576,Pest Management Loan
Groundnut,Chikkaballapur,Black cotton soil land,2.68,31732,Crop Loan
Cotton,Dharwad,Black cotton soil land,4.94,38176,Kisan Credit Card
Sugarcane,Mysuru,Black cotton soil land,4.99,51803,Agricultural Term Loan
Cotton,Gadag,Black cotton soil land,4.41,40990,Kisan Credit Card
Coffee,Kodagu,Black cotton soil land,1.41,64306,Plantation Development Loan
Groundnut,Tumakuru,Black cotton soil land,3.23,27054,Organic Farming Loan
Cotton,Haveri,Black cotton soil land,4.89,34590,Kisan Credit Card
Coffee,Hassan,Black cotton soil land,0.69,75428,NABARD Loan
Cotton,Ballari,Black cotton soil land,4.18,43676,Pest Management Loan
Cotton,Haveri,Black cotton soil land,3.5,32097,Crop Loan
Cotton,Gadag,Black cotton soil land,3.76,33306,Pest Management Loan
Cotton,Haveri,Black cotton soil land,3.21,43114,Kisan Credit Card
Coffee,Kodagu,Black cotton soil land,0.83,84204,NABARD Loan
Coffee,Kodagu,Black cotton soil land,1.24,66049,Plantation Development Loan
Groundnut,Tumakuru,Black cotton soil land,2.2,24142,Crop Loan
Cotton,Haveri,Black cotton soil land,3.68,31895,Pest Management Loan
Sugarcane,Mandya,Black cotton soil land,2.89,55970,Farm Mechanization Loan
Cotton,Dharwad,Black cotton soil land,4.61,34197,Pest Management Loan
Sugarcane,Mysuru,Black cotton soil land,2.42,56960,Agricultural Term Loan
Cotton,Dharwad,Black cotton soil land,2.4,33474,Pest Management Loan
Groundnut,Bengaluru Rural,Black cotton soil land,3.51,27040,Organic Farming Loan
Cotton,Gadag,Black cotton soil land,3.76,33306,Pest Management Loan
Sugarcane,Belagavi,Black cotton soil land,5.79,51709,Irrigation Loan
Mango,Ramanagara,Black cotton soil land,2.83,35084,Organic Farming Loan
Coffee,Hassan,Black cotton soil land,1.72,73721,NABARD Loan
Cotton,Haveri,Black cotton soil land,4.95,31247,Pest Management Loan
Cotton,Dharwad,Black cotton soil land,4.39,43722,Crop Loan
Sugarcane,Mysuru,Black cotton soil land,3.81,59827,Agricultural Term Loan
Cotton,Dharwad,Black cotton soil land,4.72,44125,Pest Management Loan
Cotton,Dharwad,Black cotton soil land,2.52,44441,Crop Loan
Cotton,Ballari,Black cotton soil land,4.22,41775,Pest Management Loan
Coffee,Kodagu,Black cotton soil land,0.95,66621,NABARD Loan
Cotton,Gadag,Black cotton soil land,2.95,33989,Kisan Credit Card
Groundnut,Bengaluru Rural,Black cotton soil land,2.23,26479,Organic Farming Loan
Mango,Chikkaballapur,Black cotton soil land,3.74,57658,Organic Farming Loan
Cotton,Ballari,Black cotton soil land,3.28,33848,Kisan Credit Card
Cotton,Ballari,Black cotton soil land,3.28,33848,Kisan Credit Card
Sugarcane,Mysuru,Black cotton soil land,4.65,49115,Agricultural Term Loan
Sugarcane,Mysuru,Black cotton soil land,4.51,55320,Farm Mechanization Loan
Sugarcane,Mysuru,Black cotton soil land,4.83,47483,Farm Mechanization Loan
Sugarcane,Belagavi,Black cotton soil land,2.72,48974,Agricultural Term Loan
Coffee,Kodagu,Black cotton soil land,1.05,87717,Plantation Development Loan
Sugarcane,Mandya,Black cotton soil land,4.65,55053,Farm Mechanization Loan
Coffee,Kodagu,Black cotton soil land,0.89,78562,NABARD Loan
Groundnut,Bengaluru Rural,Black cotton soil land,2.6,27506,Crop Loan
Groundnut,Chikkaballapur,Black cotton soil land,4.66,31066,Organic Farming Loan
Mango,Kolar,Black cotton soil land,1.69,57184,Organic Farming Loan
Cotton,Dharwad,Black cotton soil land,4.63,31826,Kisan Credit Card
Sugarcane,Bagalkot,Black cotton soil land,5.75,46804,Farm Mechanization Loan
Sugarcane,Mandya,Black cotton soil land,2.71,48392,Agricultural Term Loan
Sugarcane,Belagavi,Black cotton soil land,2.61,56247,Irrigation Loan
Sugarcane,Mandya,Black cotton soil land,2.28,53267,Irrigation Loan
Cotton,Ballari,Black cotton soil land,4.39,37485,Pest Management Loan
Cotton,Haveri,Black cotton soil land,2.28,43764,Pest Management Loan
Cotton,Dharwad,Black cotton soil land,4.15,38742,Kisan Credit Card
Coffee,Kodagu,Black cotton soil land,1.11,74302,Plantation Development Loan
Cotton,Haveri,Black cotton soil land,2.53,35316,Kisan Credit Card
Cotton,Ballari,Black cotton soil land,3.76,33563,Pest Management Loan
Coffee,Kodagu,Black cotton soil land,1.59,79189,NABARD Loan
Cotton,Dharwad,Black cotton soil land,4.8,39247,Pest Management Loan
Sugarcane,Bagalkot,Black cotton soil land,2.93,56318,Irrigation Loan
Coffee,Kodagu,Black cotton soil land,1.81,70619,Plantation Development Loan
Sugarcane,Bagalkot,Black cotton soil land,4.35,57225,Agricultural Term Loan
Coffee,Hassan,Black cotton soil land,0.57,82844,Horticulture Loan
Coffee,Hassan,Black cotton soil land,1.23,64834,Horticulture Loan
Groundnut,Tumakuru,Black cotton soil land,4.16,23101,Crop Loan
Cotton,Haveri,Black cotton soil land,2.04,33598,Pest Management Loan
Mango,Kolar,Black cotton soil land,3.26,36612,Horticulture Loan
Cotton,Haveri,Black cotton soil land,4.81,38448,Pest Management Loan
Coffee,Hassan,Black cotton soil land,1.09,88998,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.6,66106,Horticulture Loan
Mango,Chikkaballapur,Black cotton soil land,3.6,38850,Organic Farming Loan
Cotton,Gadag,Black cotton soil land,4.23,32490,Kisan Credit Card
Cotton,Gadag,Black cotton soil land,2.52,31612,Pest Management Loan
Cotton,Ballari,Black cotton soil land,2.78,40134,Pest Management Loan
Sugarcane,Belagavi,Black cotton soil land,4.66,57326,Farm Mechanization Loan
Cotton,Ballari,Black cotton soil land,2.02,34032,Kisan Credit Card
Coffee,Hassan,Black cotton soil land,1.53,72668,Horticulture Loan
Coffee,Hassan,Black cotton soil land,0.94,89907,Plantation Development Loan
Cotton,Dharwad,Black cotton soil land,4.8,39247,Pest Management Loan
Cotton,Haveri,Black cotton soil land,2.79,32967,Pest Management Loan
Groundnut,Bengaluru Rural,Black cotton soil land,4.22,25421,Organic Farming Loan
Sugarcane,Belagavi,Black cotton soil land,2.24,58521,Agricultural Term Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.81,86695,Horticulture Loan
Cotton,Gadag,Black cotton soil land,4.45,37514,Kisan Credit Card
Mango,Kolar,Black cotton soil land,1.77,39555,Horticulture Loan
Sugarcane,Mandya,Black cotton soil land,2.65,57383,Irrigation Loan
Sugarcane,Bagalkot,Black cotton soil land,5.16,46172,Irrigation Loan
Sugarcane,Mysuru,Black cotton soil land,5.71,46903,Agricultural Term Loan
Coffee,Kodagu,Black cotton soil land,0.66,67917,NABARD Loan
Groundnut,Tumakuru,Black cotton soil land,2.43,34038,Organic Farming Loan
Groundnut,Tumakuru,Black cotton soil land,3.42,30953,Organic Farming Loan
Groundnut,Chikkaballapur,Black cotton soil land,2.86,25751,Crop Loan
Groundnut,Tumakuru,Black cotton soil land,4.79,23605,Crop Loan
Mango,Chikkaballapur,Black cotton soil land,1.79,35799,Horticulture Loan
Sugarcane,Belagavi,Black cotton soil land,4.54,58529,Agricultural Term Loan
Cotton,Haveri,Black cotton soil land,2.46,35702,Pest Management Loan
Sugarcane,Mysuru,Black cotton soil land,3.79,56031,Agricultural Term Loan
Cotton,Gadag,Black cotton soil land,3.65,38789,Pest Management Loan
Groundnut,Bengaluru Rural,Black cotton soil land,4.5,34235,Organic Farming Loan
Mango,Chikkaballapur,Black cotton soil land,2.19,46145,Horticulture Loan
Cotton,Dharwad,Black cotton soil land,3.88,43387,Crop Loan
Mango,Kolar,Black cotton soil land,1.87,36121,Horticulture Loan
Cotton,Dharwad,Black cotton soil land,2.33,33512,Crop Loan
Cotton,Dharwad,Black cotton soil land,3.49,33025,Pest Management Loan
Cotton,Gadag,Black cotton soil land,4.2,32631,Crop Loan
Cotton,Ballari,Black cotton soil land,2.1,41785,Kisan Credit Card
Coffee,Kodagu,Black cotton soil land,1.48,84020,NABARD Loan
Cotton,Haveri,Black cotton soil land,4.44,39829,Pest Management Loan
Cotton,Dharwad,Black cotton soil land,4.63,41596,Pest Management Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.75,87356,Plantation Development Loan
Sugarcane,Mysuru,Black cotton soil land,5.27,47580,Irrigation Loan
Cotton,Gadag,Black cotton soil land,4.38,36064,Kisan Credit Card
Cotton,Gadag,Black cotton soil land,4.16,30785,Kisan Credit Card
Groundnut,Tumakuru,Black cotton soil land,3.5,27711,Organic Farming Loan
Cotton,Haveri,Black cotton soil land,4.72,37123,Kisan Credit Card
Groundnut,Bengaluru Rural,Black cotton soil land,3.51,25114,Crop Loan
Mango,Kolar,Black cotton soil land,1.5,36254,Horticulture Loan
Sugarcane,Mysuru,Black cotton soil land,3.1,47978,Irrigation Loan
Cotton,Gadag,Black cotton soil land,2.13,34770,Pest Management Loan
Cotton,Haveri,Black cotton soil land,3.33,34682,Crop Loan
Sugarcane,Belagavi,Black cotton soil land,2.79,47734,Irrigation Loan
Coffee,Kodagu,Black cotton soil land,1.35,83921,Plantation Development Loan
Cotton,Haveri,Black cotton soil land,3.69,33839,Pest Management Loan
Cotton,Gadag,Black cotton soil land,2.13,34770,Pest Management Loan
Sugarcane,Mysuru,Black cotton soil land,4.39,51890,Agricultural Term Loan
Coffee,Hassan,Black cotton soil land,1.43,68170,Plantation Development Loan
Cotton,Ballari,Black cotton soil land,3.07,39059,Kisan Credit Card
Cotton,Haveri,Black cotton soil land,3.69,33839,Pest Management Loan
Cotton,Dharwad,Black cotton soil land,2.07,37419,Pest Management Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.86,79315,Plantation Development Loan
Cotton,Gadag,Black cotton soil land,2.54,44958,Kisan Credit Card
Sugarcane,Mandya,Black cotton soil land,5.4,45937,Irrigation Loan
Coffee,Hassan,Black cotton soil land,0.88,64965,Plantation Development Loan
Sugarcane,Bagalkot,Black cotton soil land,3.89,58308,Agricultural Term Loan
Cotton,Gadag,Black cotton soil land,4.25,31592,Crop Loan
Coffee,Kodagu,Black cotton soil land,1.37,64225,Plantation Development Loan
Cotton,Gadag,Black cotton soil land,3.65,38789,Pest Management Loan
Cotton,Dharwad,Black cotton soil land,4.46,41328,Pest Management Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.69,73986,NABARD Loan
Sugarcane,Bagalkot,Black cotton soil land,5.17,59421,Irrigation Loan
Cotton,Haveri,Black cotton soil land,4.27,33511,Kisan Credit Card
Coffee,Chikkamagaluru,Black cotton soil land,0.95,77384,NABARD Loan
Cotton,Haveri,Black cotton soil land,3.92,33318,Pest Management Loan
Sugarcane,Mandya,Black cotton soil land,2.34,49219,Farm Mechanization Loan
Groundnut,Chikkaballapur,Black cotton soil land,2.86,22803,Crop Loan
Coffee,Kodagu,Black cotton soil land,1.35,83921,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.61,75788,Plantation Development Loan
Sugarcane,Mysuru,Black cotton soil land,5.71,46903,Agricultural Term Loan
Cotton,Gadag,Black cotton soil land,3.76,33306,Pest Management Loan
Cotton,Haveri,Black cotton soil land,2.08,35061,Pest Management Loan
Sugarcane,Mysuru,Black cotton soil land,2.18,58419,Agricultural Term Loan
Coffee,Kodagu,Black cotton soil land,1.05,87717,Plantation Development Loan
Groundnut,Bengaluru Rural,Black cotton soil land,3.4,23500,Organic Farming Loan
Sugarcane,Bagalkot,Black cotton soil land,4.76,56189,Farm Mechanization Loan
Cotton,Ballari,Black cotton soil land,2.53,35885,Pest Management Loan
Cotton,Haveri,Black cotton soil land,2.46,35702,Pest Management Loan
